Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Rep;AltChances;Step;Cost
40;10;6;3;0;1;0;False;1;0;168.4668164253235;43000
40;10;6;3;0;1;0;False;1;0;169.19622611999512;42500
40;10;6;3;0;1;0;False;1;0;184.35252141952515;42000
40;10;6;3;0;1;0;False;1;0;207.32659268379211;41500
40;10;6;3;0;1;0;False;1;0;207.44854092597961;41000
40;10;6;3;0;1;0;False;1;0;208.49330639839172;40500
40;10;6;3;0;1;0;False;1;0;221.70418667793274;39500
40;10;6;3;0;1;0;False;1;0;221.94790649414062;39000
40;10;6;3;0;1;0;False;1;0;222.15030789375305;38500
40;10;6;3;0;1;0;False;1;0;223.21140789985657;37500
40;10;6;3;0;1;0;False;1;0;223.45453143119812;36500
40;10;6;3;0;1;0;False;1;0;238.36332488059998;36000
40;10;6;3;0;1;0;False;1;0;263.0087251663208;35500
40;10;6;3;0;1;0;False;1;0;276.7043397426605;34500
40;10;6;3;0;1;0;False;1;0;301.48235154151917;34000
40;10;6;3;0;1;0;False;1;0;302.62080359458923;33000
40;10;6;3;0;1;0;False;1;0;317.45682168006897;32000
40;10;6;3;0;1;0;False;1;0;340.3507730960846;31500
40;10;6;3;0;1;0;False;1;0;341.5303473472595;30000
40;10;6;3;0;1;0;False;1;0;355.4244394302368;29500
40;10;6;3;0;1;0;False;1;0;356.72694063186646;24500
40;10;6;3;0;1;0;False;1;0;379.176132440567;24000
40;10;6;3;0;1;0;False;1;0;393.924036026001;23500
40;10;6;3;0;1;0;False;1;0;409.37059450149536;20500
40;10;6;3;0;1;0;False;1;0;423.7174816131592;20000
40;10;6;3;0;1;0;False;1;0;423.9607892036438;19500
40;10;6;3;0;1;0;False;1;0;438.556382894516;19000
40;10;6;3;0;1;0;False;1;0;439.8087742328644;16000
40;10;6;3;0;1;0;False;1;0;440.2143511772156;15000
40;10;6;3;0;1;0;False;1;0;456.13983941078186;14500
40;10;6;3;0;1;0;False;1;0;456.3026044368744;14000
40;10;6;3;0;1;0;False;1;0;457.19228196144104;12000
40;10;6;3;0;1;0;False;1;0;457.6369354724884;9000
40;10;6;3;0;1;0;False;1;0;479.99652552604675;7000
40;10;6;3;0;1;0;False;1;0;493.05186700820923;6500
40;10;6;3;0;1;0;False;1;0;493.2960932254791;5500
40;10;6;3;0;1;0;False;1;0;494.58246636390686;5000
40;10;6;3;0;1;0;False;1;0;497.0069839954376;3500
40;10;6;3;0;1;0;False;1;0;527.3314518928528;3000
40;10;6;3;0;1;0;False;1;0;553.4949066638947;2000
40;10;6;3;0;1;0;False;1;0;567.0102341175079;1500
40;10;6;3;0;1;0;False;1;0;709.3881421089172;0
40;10;6;3;0;1;0;False;2;0;0.16717195510864258;200500
40;10;6;3;0;1;0;False;2;0;0.45310235023498535;152000
40;10;6;3;0;1;0;False;2;0;0.8998503684997559;132000
40;10;6;3;0;1;0;False;2;0;1.022813081741333;111000
